station_key,station_name,from_line_id,to_line_id,from_visual_node_id,to_visual_node_id,transfer_style,connector_visible,connector_color,memo,x0,y0,x1,y1
잠실,잠실,2,8,잠실_L2,잠실_L8,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2972.0,1800.0,2972.0,1800.0
교대,교대,2,3,교대_L2,교대_L3,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2480.0,2116.0,2480.0,2116.0
사당,사당,2,4,사당_L2,사당_L4,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2200.0,2116.0,2200.0,2116.0
대림,대림,2,7,대림_L2,대림_L7,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1424.0,1964.0,1424.0,1964.0
영등포구청,영등포구청,2,5,영등포구청_L2,영등포구청_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1424.0,1660.0,1424.0,1660.0
합정,합정,2,6,합정_L2,합정_L6,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1424.0,1332.0,1424.0,1332.0
충정로,충정로,2,5,충정로_L2,충정로_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1752.0,1144.0,1752.0,1144.0
까치산,까치산,2,5,까치산_L2,까치산_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1108.0,1348.0,1108.0,1348.0
연신내,연신내,3,6,연신내_L3,연신내_L6,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1296.0,488.0,1296.0,488.0
불광,불광,3,6,불광_L3,불광_L6,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1460.0,488.0,1460.0,488.0
충무로,충무로,3,4,충무로_L3,충무로_L4,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2328.0,1244.0,2328.0,1244.0
약수,약수,3,6,약수_L3,약수_L6,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2480.0,1476.0,2480.0,1476.0
고속터미널,고속터미널,3,7,고속터미널_L3,고속터미널_L7,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2480.0,1964.0,2480.0,1964.0
가락시장,가락시장,3,8,가락시장_L3,가락시장_L8,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,3300.0,2140.0,3300.0,2140.0
오금,오금,3,5,오금_L3,오금_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,3862.0,2140.0,3862.0,2140.0
노원,노원,4,7,노원_L4,노원_L7,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,3464.0,356.0,3464.0,356.0
삼각지,삼각지,4,6,삼각지_L4,삼각지_L6,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1940.0,1476.0,1940.0,1476.0
이수,이수,4,7,이수_L4,이수_L7,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2200.0,1964.0,2200.0,1964.0
공덕,공덕,5,6,공덕_L5,공덕_L6,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1752.0,1476.0,1752.0,1476.0
청구,청구,5,6,청구_L5,청구_L6,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2528.0,1244.0,2528.0,1244.0
군자,군자,5,7,군자_L5,군자_L7,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,3192.0,1250.0,3192.0,1250.0
천호,천호,5,8,천호_L5,천호_L8,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,3340.0,1636.0,3340.0,1636.0
태릉입구,태릉입구,6,7,태릉입구_L6,태릉입구_L7,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,3464.0,636.0,3464.0,636.0
